"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
544199,"occ",,,56883,"Balaenoptera sp.","genus",36678,"","Balaenoptera","genus",36678,"Calabrian","",1.806,0.781,15331
544512,"occ",,,56952,"Balaenopteridae indet.","family",42977,"","Balaenopteridae","family",42977,"Middle Miocene","",15.97,11.608,15356
545026,"occ",,,13079,"Delphinoidea indet.","superfamily",53268,"","Delphinoidea","superfamily",53268,"Messinian","",7.246,5.333,15398
545340,"occ",,,57119,"Squalodon sp.","genus",36852,"","Squalodon","genus",36852,"Chattian","",28.1,23.03,15422
545719,"occ",,,57138,"Hoplocetus crassidens","species",64696,"","Hoplocetus crassidens","species",64696,"Pliocene","",5.333,2.588,15444
557244,"occ",33284,,57700,"Aglaocetus patulus","species",62952,"","Aglaocetus patulus","species",62952,"Langhian","",15.97,13.82,62139
557598,"occ",,,52582,"Physeterinae indet.","subfamily",62911,"","Physeterinae","subfamily",62911,"Zanclean","",5.333,3.6,6011
557615,"occ",,,57776,"Mysticeti indet.","suborder",42971,"","Mysticeti","suborder",42971,"Chattian","",28.1,23.03,12691
557624,"occ",,,52183,"Liolithax aff. kernensis","species",63840,"","Liolithax kernensis","species",63840,"Langhian","",15.97,13.82,12691
558118,"occ",,,56942,"Burtinopsis sp.","genus",36686,"nomen dubium","Mysticeti","suborder",42971,"Early Pliocene","Late Pliocene",5.333,2.588,15571
558469,"occ",,,57981,"Stenodelphininae indet.","family",63586,"subjective synonym of","Iniidae","family",93947,"Pliocene","",5.333,2.588,15591
559595,"occ",,,58148,"n. gen. Miodelphis n. sp. californicus","species",64563,"","Miodelphis californicus","species",64563,"Chattian","",28.1,23.03,12749
560687,"occ",,,58419,"Monodon monoceros","species",64546,"","Monodon monoceros","species",64546,"Middle Pleistocene","",0.781,0.126,16564
560688,"occ",,,58420,"Delphinapterus leucas","species",65078,"","Delphinapterus leucas","species",64545,"Early Pleistocene","",2.588,0.781,16564
560689,"occ",,,58421,"Phocoena communis","species",63542,"species not entered","Phocoena","genus",36803,"Middle Pleistocene","",0.781,0.126,16564
565532,"occ",,,47465,"Balaenopteridae indet.","family",42977,"","Balaenopteridae","family",42977,"Late Miocene","Late Pliocene",11.608,2.588,16855
565533,"occ",,,47465,"Balaenidae indet.","family",42978,"","Balaenidae","family",42978,"Late Miocene","Late Pliocene",11.608,2.588,16855
565552,"occ",,,57733,"Cetacea indet.","unranked clade",36652,"","Cetacea","unranked clade",36652,"Tortonian","",11.62,7.246,15419
575055,"occ",,,45637,"Cynthiacetus maxwelli","species",63144,"","Cynthiacetus maxwelli","species",63144,"Priabonian","",38,33.9,12000
614662,"occ",,,66066,"n. gen. Caviziphius n. sp. altirostris","species",86864,"","Caviziphius altirostris","species",86864,"Middle Miocene","Late Miocene",15.97,5.333,18923
616564,"occ",,,66288,"Delphinus n. sp. restitutensis","species",69772,"nomen dubium","Odontoceti","suborder",42937,"Burdigalian","",20.44,15.97,18970
622605,"occ",,,67022,"Plesiocetus hupschii","species",69123,"recombined as","Plesiocetopsis hupschii","species",69123,"Burdigalian","Serravallian",20.44,11.62,19106
622607,"occ",,,67022,"Mesocetus n. sp. longirostris","species",64457,"","Mesocetus longirostris","species",64457,"Burdigalian","Serravallian",20.44,11.62,12642
622633,"occ",,,67027,"Herpetocetus scaldiensis","species",64450,"","Herpetocetus scaldiensis","species",64450,"Zanclean","",5.333,3.6,12326
622635,"occ",,,59123,"Plesiocetus hupschii","species",69123,"recombined as","Plesiocetopsis hupschii","species",69123,"Langhian","Serravallian",15.97,11.62,19106
632293,"occ",,,68031,"Sotalia guianensis","species",69750,"subjective synonym of","Sotalia fluviatilis","species",94788,"Holocene","",0.0117,0,19478
634505,"occ",,,68263,"Cetacea indet.","unranked clade",36652,"","Cetacea","unranked clade",36652,"Serravallian","",13.82,11.62,19640
656108,"occ",,,57782,"Cetophis heteroclitus","species",63615,"nomen dubium","Odontoceti","suborder",42937,"Langhian","",15.97,13.82,23697
656166,"occ",,,55395,"Cetotherium parvum","species",65769,"","Cetotherium parvum","species",65769,"Tortonian","",11.62,7.246,15442
