"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
481518,"occ",,,48093,"Cetotherium brialmonti","species",104093,"nomen dubium","Plesiocetus","genus",36817,"Gelasian","",2.588,1.806,12874
1266048,"occ",,,168147,"Grampus griseus","species",63557,"","Grampus griseus","species",63556,"Holocene","",0.0117,0,55079
440389,"occ",,,43029,"Protocetus n. sp. sloani","species",63120,"recombined as","Andrewsiphius sloani","species",63120,"Lutetian","",47.8,41.3,11408
465673,"occ",,,46107,"Mysticeti ? indet.","suborder",42971,"","Mysticeti","suborder",42971,"Langhian","Serravallian",15.97,11.62,12298
899251,"occ",,,80365,"Balaenoptera sp.","genus",36678,"","Balaenoptera","genus",36678,"Late Miocene","",11.608,5.333,34357
492121,"occ",15697,,47428,"Odontoceti indet.","suborder",42937,"","Odontoceti","suborder",42937,"Piacenzian","",3.6,2.588,12845
788964,"occ",,,56692,"Balaenoptera (Plesiocetus) n. sp. cortesii","species",83540,"","Balaenoptera (Plesiocetus) cortesii","species",83540,"Zanclean","Piacenzian",5.333,2.588,13952
1220636,"occ",,,159712,"Megaptera novaeangliae","species",70685,"","Megaptera novaeangliae","species",64491,"Holocene","",0.0117,0,32630
897365,"occ",,,99582,"Cetacea indet.","unranked clade",36652,"","Cetacea","unranked clade",36652,"Neogene","",23.03,2.588,27111
460993,"occ",,,18573,"Pontoporiidae indet.","family",42965,"","Pontoporiidae","family",42965,"Late Hemphillian","",10.3,4.9,2613
788376,"occ",,,85154,"n. gen. Belemnoziphius n. sp. compressus","species",64702,"","Belemnoziphius compressus","species",64702,"Piacenzian","",3.6,2.588,12787
928412,"occ",,,106180,"Mysticeti indet.","suborder",42971,"","Mysticeti","suborder",42971,"Messinian","",7.246,5.333,35412
1182821,"occ",,,45494,"Balaenidae indet.","family",42978,"","Balaenidae","family",42978,"Zanclean","",5.333,3.6,49080
502025,"occ",,,51004,"Delphinapterus leucas","species",65078,"","Delphinapterus leucas","species",64545,"Late Pleistocene","",0.126,0.0117,13616
1390641,"occ",,,191275,"Delphinidae indet.","family",42953,"","Delphinidae","family",42953,"Early Pliocene","",5.333,3.6,64527
1262983,"occ",,,167732,"n. gen. Chilcacetus n. sp. cavirhinus","species",317885,"","Chilcacetus cavirhinus","species",317885,"Aquitanian","",23.03,20.44,54782
1348018,"occ",,,88545,"Cetotherium rathkei","species",69834,"obsolete variant of","Cetotherium rathkii","species",64469,"Tortonian","",11.62,7.246,60839
745279,"occ",,,79949,"Globicephala macrorhyncha","species",149111,"recombined as","Globicephala macrorhynchus","species",69994,"Pleistocene","",2.588,0.0117,26872
536662,"occ",23571,,55535,"Physeteroidea indet.","superfamily",53105,"","Physeteroidea","superfamily",53105,"Messinian","",7.246,5.333,34357
465453,"occ",,,13297,"n. gen. Loxolithax n. sp. sinuosa","species",63846,"","Loxolithax sinuosa","species",63846,"Langhian","",15.97,13.82,12162
1353594,"occ",,,183533,"Delphinidae indet.","family",42953,"","Delphinidae","family",42953,"Late Miocene","",11.608,5.333,60839
1190639,"occ",,,84944,"Megaptera sp.","genus",36760,"","Megaptera","genus",36760,"Piacenzian","",3.6,2.588,49778
788963,"occ",,,76978,"Balaenoptera cortesii","species",68442,"invalid subgroup of","Mysticeti","suborder",42971,"Pliocene","",5.333,2.588,15272
722461,"occ",,,52582,"Ninoziphius cf. platyrostris","species",62912,"","Ninoziphius platyrostris","species",62912,"Zanclean","",5.333,3.6,26220
882017,"occ",,,48093,"Physeter sp.","genus",36807,"","Physeter","genus",36807,"Gelasian","",2.588,1.806,33798
666770,"occ",,,70823,"Parietobalaena palmeri","species",62938,"","Parietobalaena palmeri","species",62938,"Langhian","",15.97,13.82,24251
1390455,"occ",,,48657,"Xiphiacetus aff. bossi","species",69885,"","Xiphiacetus bossi","species",66353,"Burdigalian","Messinian",20.44,5.333,64492
705737,"occ",,,75736,"Cetacea indet.","unranked clade",36652,"","Cetacea","unranked clade",36652,"Late Miocene","",11.608,5.333,25594
1354955,"occ",,,100408,"aff. Megaptera sp.","genus",36760,"","Megaptera","genus",36760,"Piacenzian","",3.6,2.588,2613
1267404,"occ",,,133498,"Parietobalaena sp.","genus",36797,"","Parietobalaena","genus",36797,"Burdigalian","Langhian",20.44,13.82,55133
475069,"occ",,,47125,"Scaldicetus grandis","species",64646,"","Scaldicetus grandis","species",64626,"Burdigalian","Messinian",20.44,5.333,12475
1018620,"occ",,,70838,"Siphonocetus priscus","species",63984,"nomen dubium","Mysticeti","suborder",42971,"Serravallian","",13.82,11.62,39918
1374561,"occ",,,187600,"Cetotherium capellinii","species",68443,"","Cetotherium capellinii","species",68443,"Zanclean","",5.333,3.6,62988
699721,"occ",,,75142,"Pseudorca crassidens","species",64544,"","Pseudorca crassidens","species",64543,"Holocene","",0.0117,0,25368
1190620,"occ",,,153705,"Balaenoptera ? bertae","species",287250,"","Balaenoptera bertae","species",287250,"Zanclean","",5.333,3.6,49737
464100,"occ",,,45834,"Patriocetus ? sp.","genus",36798,"","Patriocetus","genus",36798,"Chattian","",28.1,23.03,12179
536654,"occ",,,55533,"Delphinus delphis","species",64534,"","Delphinus delphis","species",64534,"Holocene","",0.0117,0,14999
501846,"occ",,,18587,"Ixacanthus coelospondylus","species",63651,"nomen dubium","Odontoceti","suborder",42937,"Langhian","",15.97,13.82,13605
722454,"occ",,,48887,"aff. Lophocetus pappus","species",62953,"recombined as","Liolithax pappus","species",62953,"Serravallian","",13.82,11.62,26220
751054,"occ",,,80361,"Cetotherium sp.","genus",36692,"","Cetotherium","genus",36692,"Serravallian","",13.82,11.62,27013
798947,"occ",,,86928,"Balaena n. sp. glacialis","species",81899,"recombined as","Eubalaena glacialis","species",81899,"Holocene","",0.0117,0,12161
804664,"occ",,,87788,"Tursiops sp.","genus",36865,"","Tursiops","genus",36865,"Pliocene","",5.333,2.588,29503
768359,"occ",,,82091,"Lagenodelphis hosei","species",63574,"","Lagenodelphis hosei","species",63574,"Holocene","",0.0117,0,27684
786943,"occ",,,84947,"Champsodelphis n. sp. carniolicus","species",68809,"recombined as","Delphinodon carniolicus","species",68809,"Langhian","",15.97,13.82,15273
1070928,"occ",,,89613,"Basilosaurus cetoides","species",53153,"","Basilosaurus cetoides","species",63132,"Priabonian","",38,33.9,42488
530465,"occ",,,54175,"""Scaldicetus"" sp.","genus",36900,"","Scaldicetus","genus",36900,"Tortonian","",11.62,7.246,14646
945480,"occ",,,75638,"Zygorhiza kochii","species",53292,"","Zygorhiza kochii","species",63069,"Priabonian","",38,33.9,36264
522085,"occ",,,53679,"Xiphiacetus cristatus","species",67733,"","Xiphiacetus cristatus","species",64644,"Langhian","Serravallian",15.97,11.62,14479
536802,"occ",,,42060,"Schizodelphis aff. sulcatus","species",63690,"","Schizodelphis sulcatus","species",63687,"Middle Miocene","",15.97,11.608,15013
652697,"occ",,,70503,"Odontoceti indet.","suborder",42937,"","Odontoceti","suborder",42937,"Langhian","Serravallian",15.97,11.62,23642
752942,"occ",,,80625,"Eschrichtius robustus","species",81900,"","Eschrichtius robustus","species",64488,"Holocene","",0.0117,0,27125
1190633,"occ",,,117472,"Phocoenidae indet.","family",53269,"","Phocoenidae","family",102804,"Piacenzian","",3.6,2.588,49737
622611,"occ",,,67023,"Balaenoptera borealina","species",64865,"nomen dubium","Balaenopteridae","family",42977,"Pliocene","",5.333,2.588,19106
1266245,"occ",,,168254,"Physeter macrocephalus","species",68698,"","Physeter macrocephalus","species",68698,"Holocene","",0.0117,0,55094
506569,"occ",,,51417,"Ziphiidae indet.","family",42951,"","Ziphiidae","family",42951,"Late Miocene","Late Pliocene",11.608,2.588,13672
513740,"occ",,,47465,"Amphicetus n. sp. editus","species",64453,"nomen dubium","Amphicetus","genus",36661,"Late Miocene","Late Pliocene",11.608,2.588,12641
535214,"occ",,,55394,"Cetacea indet.","unranked clade",36652,"","Cetacea","unranked clade",36652,"Langhian","",15.97,13.82,14893
564795,"occ",,,11601,"Squalodontidae indet.","family",42939,"","Squalodontidae","family",42939,"Aquitanian","",23.03,20.44,4383
506572,"occ",,,51419,"Mesoplodon sp.","genus",36763,"","Mesoplodon","genus",36763,"Late Miocene","Late Pliocene",11.608,2.588,13672
544467,"occ",15588,,56937,"Zygorhiza juddi","species",63135,"nomen dubium","Basilosauridae","family",42936,"Priabonian","",38,33.9,8335
462877,"occ",,,45669,"n. gen. Simocetus n. sp. rayi","species",63231,"","Simocetus rayi","species",63231,"Rupelian","",33.9,28.1,12043
1220642,"occ",,,159716,"Physeter macrocephalus","species",68698,"","Physeter macrocephalus","species",68698,"Holocene","",0.0117,0,32630
502050,"occ",,,51018,"Phocoena phocoena","species",63544,"","Phocoena phocoena","species",63543,"Late Pleistocene","",0.126,0.0117,13616
1217427,"occ",,,159106,"cf. Stromerius sp.","genus",118886,"","Stromerius","genus",118886,"Priabonian","",38,33.9,52063
1308485,"occ",,,175523,"Physeter macrocephalus","species",68698,"","Physeter macrocephalus","species",68698,"Holocene","",0.0117,0,57380
805124,"occ",,,87865,"Ziphiidae ? indet.","family",42951,"","Ziphiidae","family",42951,"Tortonian","Messinian",11.62,5.333,12682
1341723,"occ",,,45487,"Acrophyseter n. sp. robustus","species",346507,"","Acrophyseter robustus","species",346507,"Serravallian","",13.82,11.62,60319
666892,"occ",,,71796,"Physeteridae indet.","family",42967,"","Physeteridae","family",42967,"Burdigalian","",20.44,15.97,24251
622633,"occ",,,67027,"Herpetocetus scaldiensis","species",64450,"","Herpetocetus scaldiensis","species",64450,"Zanclean","",5.333,3.6,12326
150828,"occ",,,13402,"Basilosaurus isis","species",53287,"","Basilosaurus isis","species",62984,"Priabonian","",38,33.9,6026
1308483,"occ",,,175523,"Delphinus delphis","species",64534,"","Delphinus delphis","species",64534,"Holocene","",0.0117,0,57380
1372217,"occ",,,179732,"Hadrodelphis sp.","genus",36722,"","Hadrodelphis","genus",36722,"Messinian","",7.246,5.333,62831
1116241,"occ",,,107512,"Protocetidae indet.","family",42934,"","Protocetidae","family",42934,"Bartonian","",41.3,38,46004
536142,"occ",28873,,54181,"Balaenoptera musculus","species",70697,"","Balaenoptera musculus","species",70696,"Calabrian","",1.806,0.781,47553
1360652,"occ",,,184954,"cf. Globicephalinae indet.","subfamily",63528,"","Globicephalinae","subfamily",102698,"Piacenzian","",3.6,2.588,49737
400875,"occ",,,7299,"Eocetus n. sp. wardii","species",63151,"recombined as","Basilotritus wardii","species",63151,"Bartonian","",41.3,38,8810
478787,"occ",,,47465,"Mioziphius belgicus","species",64653,"subjective synonym of","Ziphirostrum marginatum","species",64609,"Late Miocene","Late Pliocene",11.608,2.588,12188
1296294,"occ",,,45660,"n. gen. Tokarahia n. sp. kauaeroa","species",327303,"","Tokarahia kauaeroa","species",327303,"Duntroonian","",27.3,25.2,56203
802473,"occ",,,53889,"Burtinopsis minimus","species",36686,"nomen dubium","Mysticeti","suborder",42971,"Late Miocene","",11.608,5.333,29207
544466,"occ",,,45493,"Delphinodon n. sp. dividum","species",68939,"","Delphinodon dividum","species",68939,"Burdigalian","",20.44,15.97,15347
1350839,"occ",,,125187,"Orca sp.","genus",66120,"replaced by","Orcinus","genus",36787,"Zanclean","",5.333,3.6,61139
460991,"occ",,,18536,"Ziphiidae indet.","family",42951,"","Ziphiidae","family",42951,"Early Clarendonian","",13.6,10.3,2613
465617,"occ",,,45484,"Kentriodontidae indet.","family",42938,"","Kentriodontidae","family",42938,"Aquitanian","",23.03,20.44,12182
492083,"occ",,,49671,"Odontoceti indet.","suborder",42937,"","Odontoceti","suborder",42937,"Burdigalian","Langhian",20.44,13.82,13326
544509,"occ",,,56949,"Cetotheriidae indet.","family",42973,"","Cetotheriidae","family",66751,"Middle Miocene","",15.97,11.608,15356
1179093,"occ",,,53679,"Aporotus recurvirostris","species",64615,"","Aporotus recurvirostris","species",64615,"Langhian","Serravallian",15.97,11.62,15538
796371,"occ",,,86527,"Eschrichtius robustus","species",81900,"","Eschrichtius robustus","species",64488,"Holocene","",0.0117,0,29063
516021,"occ",,,52219,"Scaldicetus cf. grandis","species",64646,"","Scaldicetus grandis","species",64626,"Piacenzian","",3.6,2.588,6029
652880,"occ",,,70517,"Squalodon calvertensis","species",68288,"","Squalodon calvertensis","species",68288,"Aquitanian","",23.03,20.44,23660
830781,"occ",,,77594,"Mysticeti indet.","suborder",42971,"","Mysticeti","suborder",42971,"Zanclean","",5.333,3.6,30915
371205,"occ",,,35125,"Delphinidae indet.","family",42953,"","Delphinidae","family",42953,"Messinian","",7.246,5.333,9455
706215,"occ",,,19342,"Odontoceti indet.","suborder",42937,"","Odontoceti","suborder",42937,"Hemphillian","",10.3,4.9,12297
463785,"occ",,,45817,"Basilosauridae indet.","family",42936,"","Basilosauridae","family",42936,"Bartonian","",41.3,38,12165
538313,"occ",,,55868,"Basilosaurus cetoides","species",53153,"","Basilosaurus cetoides","species",63132,"Priabonian","",38,33.9,15087
877664,"occ",,,90022,"n. gen. Ocucajea n. sp. picklingi","species",199247,"","Ocucajea picklingi","species",199247,"Bartonian","",41.3,38,36484
768354,"occ",,,82088,"Lagenorhynchus obliquidens","species",63815,"","Lagenorhynchus obliquidens","species",63815,"Holocene","",0.0117,0,27682
872496,"occ",,,96691,"Mysticeti indet.","suborder",42971,"","Mysticeti","suborder",42971,"Pliocene","",5.333,2.588,32953
1266800,"occ",,,168350,"Kogia breviceps","species",64510,"","Kogia breviceps","species",64509,"Holocene","",0.0117,0,55079
866838,"occ",,,81821,"Balaena mysticetus","species",64683,"","Balaena mysticetus","species",64683,"Late Pleistocene","",0.126,0.0117,32630
1354954,"occ",,,181317,"aff. Balaenoptera acutorostrata","species",68469,"","Balaenoptera acutorostrata","species",68469,"Piacenzian","",3.6,2.588,2613
829248,"occ",,,88644,"Andrewsiphius sloani","species",63152,"","Andrewsiphius sloani","species",63120,"Lutetian","",47.8,41.3,30795
467908,"occ",,,46524,"Squalodon sp.","genus",36852,"","Squalodon","genus",36852,"Burdigalian","",20.44,15.97,12186
536115,"occ",,,55451,"Stenella sp.","genus",102903,"","Stenella","genus",36854,"Neogene","",23.03,2.588,14950
1266874,"occ",,,168366,"Berardius arnuxii","species",63590,"","Berardius arnuxii","species",63590,"Holocene","",0.0117,0,55103
709188,"occ",,,55643,"Phocaenidae indet.","family",42964,"obsolete variant of","Phocoenidae","family",102804,"Zanclean","",5.333,3.6,12148
1190637,"occ",,,55542,"Balaenoptera acutorostrata","species",68469,"","Balaenoptera acutorostrata","species",68469,"Piacenzian","",3.6,2.588,49778
461050,"occ",,,18532,"Goniodelphis hudsoni","species",62925,"","Goniodelphis hudsoni","species",62925,"Late Hemphillian","",10.3,4.9,2613
894718,"occ",,,99160,"Odontoceti indet.","suborder",42937,"","Odontoceti","suborder",42937,"Aquitanian","",23.03,20.44,34109
1375607,"occ",,,128413,"cf. Ziphiidae indet.","family",42951,"","Ziphiidae","family",42951,"Early Miocene","",23.03,15.97,63035
666917,"occ",,,45506,"Priscodelphinus atropius","species",63654,"nomen dubium","Odontoceti","suborder",42937,"Langhian","",15.97,13.82,24251
544199,"occ",,,56883,"Balaenoptera sp.","genus",36678,"","Balaenoptera","genus",36678,"Calabrian","",1.806,0.781,15331
788231,"occ",,,58421,"Physeter macrocephalus","species",68698,"","Physeter macrocephalus","species",68698,"Middle Pleistocene","",0.781,0.126,28641
804481,"occ",,,76977,"Delphinus sp.","genus",36703,"","Delphinus","genus",36703,"Pliocene","",5.333,2.588,29503
722488,"occ",,,48887,"Eurhinodelphinidae indet.","family",53264,"","Eurhinodelphinidae","family",63595,"Serravallian","",13.82,11.62,26221
607031,"occ",,,45503,"n. gen. Zygophyseter n. sp. varolai","species",85977,"","Zygophyseter varolai","species",85977,"Tortonian","",11.62,7.246,18691
777666,"occ",,,83457,"Kogia breviceps","species",64510,"","Kogia breviceps","species",64509,"Holocene","",0.0117,0,27683
622638,"occ",,,67028,"Burtinopsis minutus","species",64866,"nomen dubium","Mysticeti","suborder",42971,"Pliocene","",5.333,2.588,19106
777726,"occ",,,83487,"Physeter macrocephalus","species",68698,"","Physeter macrocephalus","species",68698,"Holocene","",0.0117,0,27683
790126,"occ",,,48029,"Pachyacanthus sp.","genus",42946,"","Pachyacanthus","genus",42946,"Langhian","",15.97,13.82,18748
1190645,"occ",,,153708,"Cetotherium capellinii","species",68443,"","Cetotherium capellinii","species",68443,"Piacenzian","",3.6,2.588,49778
788983,"occ",,,57733,"Plesiocetus n. sp. intermedius","species",124842,"","Plesiocetus intermedius","species",124842,"Tortonian","",11.62,7.246,19302
618593,"occ",,,57733,"Megaptera n. sp. affinis","species",64862,"nomen dubium","Balaenopteridae","family",42977,"Tortonian","",11.62,7.246,13983
508628,"occ",,,51680,"n. gen. Eurhinodelphis n. sp. cocheteuxi","species",64595,"","Eurhinodelphis cocheteuxi","species",64595,"Langhian","Serravallian",15.97,11.62,12761
541068,"occ",,,56563,"Physeterula dubusii","species",64464,"corrected to","Physeterula dubusi","species",64464,"Late Miocene","",11.608,5.333,15232
463766,"occ",,,45787,"aff. Sachalinocetus sp.","genus",36843,"","Sachalinocetus","genus",36843,"Chattian","",28.1,23.03,12154
477603,"occ",,,47303,"Plesiocetus n. sp. dyticus","species",64480,"","Plesiocetus dyticus","species",64480,"Burdigalian","",20.44,15.97,12654
467892,"occ",,,46521,"Physeterula sp.","genus",36808,"","Physeterula","genus",36808,"Burdigalian","",20.44,15.97,12186
513758,"occ",,,52065,"Stenella sp.","genus",102903,"","Stenella","genus",36854,"Piacenzian","",3.6,2.588,12278
1361773,"occ",,,57700,"Kentriodontidae indet.","family",42938,"","Kentriodontidae","family",42938,"Langhian","",15.97,13.82,62139
789456,"occ",,,67029,"Balaena primigenius","species",64446,"nomen nudum","Balaenidae","family",42978,"Pliocene","",5.333,2.588,12326
666828,"occ",,,45506,"Cetacea indet.","unranked clade",36652,"","Cetacea","unranked clade",36652,"Langhian","",15.97,13.82,24251
1117524,"occ",,,141838,"Tusciziphius atlanticus","species",264273,"","Tusciziphius atlanticus","species",264273,"Messinian","Zanclean",7.246,3.6,46079
486179,"occ",,,48656,"Squalodon bellunensis","species",90650,"","Squalodon bellunensis","species",90633,"Serravallian","",13.82,11.62,12984
792524,"occ",,,49685,"Eucetotherium sp.","genus",81063,"","Eucetotherium","genus",36716,"Serravallian","",13.82,11.62,28993
1310850,"occ",,,175950,"Balaena mysticetus","species",64683,"","Balaena mysticetus","species",64683,"Holocene","",0.0117,0,57688
961528,"occ",,,112635,"Squalodontidae informal Genus X","family",42939,"obsolete variant of","Squalodontidae","family",42939,"Chattian","",28.1,23.03,11875
557670,"occ",15656,,45511,"Schizodelphis sulcatus","species",63690,"","Schizodelphis sulcatus","species",63687,"Burdigalian","",20.44,15.97,12196
613697,"occ",,,65936,"Cetacea indet.","unranked clade",36652,"","Cetacea","unranked clade",36652,"MN 7 + 8","",12.75,11.1,18869
666774,"occ",,,48884,"Orycterocetus crocodilinus","species",68215,"","Orycterocetus crocodilinus","species",68215,"Burdigalian","",20.44,15.97,24251
937784,"occ",,,108338,"Delphinus delphis","species",64534,"","Delphinus delphis","species",64534,"Pliocene","",5.333,2.588,35932
700414,"occ",,,75152,"Herpetocetus scaldiensis","species",64450,"","Herpetocetus scaldiensis","species",64450,"Serravallian","",13.82,11.62,25229
874797,"occ",,,96953,"Masracetus markgrafi","species",118889,"","Masracetus markgrafi","species",118889,"Priabonian","",38,33.9,33106
502052,"occ",,,51020,"Megaptera boops","species",92137,"subjective synonym of","Megaptera novaeangliae","species",64491,"Late Pleistocene","",0.126,0.0117,35031
722500,"occ",,,52582,"Delphinidae indet.","family",42953,"","Delphinidae","family",42953,"Zanclean","",5.333,3.6,26221
544510,"occ",,,56950,"Cetotheriidae indet.","family",42973,"","Cetotheriidae","family",66751,"Tortonian","",11.62,7.246,15356
1264521,"occ",,,167959,"Eubalaena glacialis","species",80716,"","Eubalaena glacialis","species",81899,"Holocene","",0.0117,0,54975
1015449,"occ",,,54171,"Cetotheriidae ? indet.","family",42973,"","Cetotheriidae","family",66751,"Serravallian","",13.82,11.62,40073
1069251,"occ",,,132392,"Archaeoceti indet.","suborder",42933,"","Archaeoceti","suborder",42933,"Eocene","",56,33.9,42656
530482,"occ",21246,,54181,"Megaptera novaeangliae","species",70685,"","Megaptera novaeangliae","species",64491,"Calabrian","",1.806,0.781,29033
843020,"occ",,,93595,"cf. Attockicetus sp.","genus",62969,"","Attockicetus","genus",62969,"Lutetian","",47.8,41.3,31707
695836,"occ",,,74896,"Scaldicetus grandis","species",64646,"","Scaldicetus grandis","species",64626,"Late Miocene","",11.608,5.333,25229
557987,"occ",,,57908,"Balaenotus sp.","genus",36679,"","Balaenotus","genus",36679,"Early Pliocene","",5.333,3.6,15562
664851,"occ",,,71626,"Cetacea indet.","unranked clade",36652,"","Cetacea","unranked clade",36652,"Messinian","",7.246,5.333,16985
462797,"occ",,,16549,"Basilosaurus cetoides","species",53153,"","Basilosaurus cetoides","species",63132,"Priabonian","",38,33.9,8803
897524,"occ",,,99586,"Balaenoptera sp.","genus",36678,"","Balaenoptera","genus",36678,"Neogene","",23.03,2.588,34259
1021047,"occ",,,125017,"Dorudon atrox","species",53288,"","Dorudon atrox","species",62994,"Priabonian","",38,33.9,10457
679927,"occ",,,73367,"Odontoceti indet.","suborder",42937,"","Odontoceti","suborder",42937,"Sarmatian","",12.7,11.608,24600
874181,"occ",,,96923,"Pachyacanthus suessi","species",138658,"misspelling of, obsolete variant of","Pachyacanthus suessii","species",64470,"Sarmatian","",12.7,11.608,33091
1368669,"occ",,,186597,"Balaena mysticetus","species",64683,"","Balaena mysticetus","species",64683,"Holocene","",0.0117,0,32630
970930,"occ",,,115184,"Cetacea indet.","unranked clade",351937,"","Cetacea","unranked clade",36652,"Late Pleistocene","",0.126,0.0117,37303
1011644,"occ",,,123583,"Odontoceti indet.","suborder",42937,"","Odontoceti","suborder",42937,"Pliocene","Pleistocene",5.333,0.0117,39764
559104,"occ",,,58109,"Phocaena n. sp. crassidens","species",64543,"recombined as","Pseudorca crassidens","species",64543,"Late Pleistocene","",0.126,0.0117,12774
1309640,"occ",,,175734,"Platyosphys n. sp. aithai","species",334116,"","Platyosphys aithai","species",334116,"Bartonian","",41.3,38,57556
750052,"occ",,,80236,"Plesiocetus sp.","genus",36817,"","Plesiocetus","genus",36817,"Late Miocene","",11.608,5.333,26983
667805,"occ",,,71940,"Caperea marginata","species",77391,"","Caperea marginata","species",64496,"Holocene","",0.0117,0,24321
